Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,3.695560,3.737900,3.694940,3.694500,3.694500,0
2018-09-05,3.719760,3.740680,3.708960,3.719600,3.719600,0
2018-09-06,3.717230,3.734630,3.701360,3.717150,3.717150,0
2018-09-07,3.719700,3.731510,3.693300,3.719850,3.719850,0
2018-09-10,3.728460,3.747570,3.715530,3.729400,3.729400,0
2018-09-11,3.718660,3.725540,3.694850,3.719400,3.719400,0
2018-09-12,3.711700,3.726180,3.694500,3.710950,3.710950,0
2018-09-13,3.705100,3.716200,3.675600,3.704250,3.704250,0
2018-09-14,3.682500,3.696950,3.666490,3.680860,3.680860,0
2018-09-17,3.704150,3.707360,3.674150,3.701620,3.701620,0
2018-09-18,3.683900,3.686960,3.664390,3.683070,3.683070,0
2018-09-19,3.670460,3.683300,3.662010,3.669960,3.669960,0
2018-09-20,3.670670,3.675800,3.642990,3.671250,3.671250,0
2018-09-21,3.643300,3.666360,3.636090,3.642400,3.642400,0
2018-09-24,3.666460,3.673700,3.640680,3.667100,3.667100,0
2018-09-25,3.656900,3.668500,3.635720,3.656900,3.656900,0
2018-09-26,3.644000,3.652160,3.636590,3.642770,3.642770,0
2018-09-27,3.636700,3.664300,3.631980,3.635660,3.635660,0
2018-09-28,3.668500,3.697860,3.660730,3.668440,3.668440,0
2018-10-01,3.689760,3.702980,3.678530,3.688360,3.688360,0
2018-10-02,3.701860,3.735200,3.700300,3.702200,3.702200,0
2018-10-03,3.718850,3.731800,3.696900,3.719300,3.719300,0
2018-10-04,3.746660,3.755500,3.729560,3.746000,3.746000,0
2018-10-05,3.738110,3.752270,3.723900,3.741060,3.741060,0
2018-10-08,3.733300,3.761000,3.732540,3.735660,3.735660,0
2018-10-09,3.755900,3.777220,3.747200,3.755510,3.755510,0
2018-10-10,3.740560,3.752790,3.734260,3.739400,3.739400,0
2018-10-11,3.746150,3.746300,3.715660,3.746700,3.746700,0
2018-10-12,3.713910,3.724630,3.705150,3.714410,3.714410,0
2018-10-15,3.718730,3.723100,3.695500,3.718830,3.718830,0
2018-10-16,3.704100,3.712000,3.689480,3.702420,3.702420,0
2018-10-17,3.700750,3.725330,3.698600,3.700100,3.700100,0
2018-10-18,3.729440,3.748200,3.724570,3.729800,3.729800,0
2018-10-19,3.757550,3.763970,3.729970,3.757900,3.757900,0
2018-10-22,3.730570,3.742070,3.712460,3.732340,3.732340,0
2018-10-23,3.743300,3.757110,3.735310,3.742960,3.742960,0
2018-10-24,3.744200,3.783360,3.742010,3.744210,3.744210,0
2018-10-25,3.782800,3.791200,3.770050,3.781000,3.781000,0
2018-10-26,3.789700,3.808100,3.778700,3.788520,3.788520,0
2018-10-29,3.779580,3.800780,3.771920,3.780000,3.780000,0
2018-10-30,3.801470,3.815400,3.798540,3.804200,3.804200,0
2018-10-31,3.818200,3.835500,3.811480,3.816900,3.816900,0
2018-11-01,3.836590,3.838300,3.786050,3.836160,3.836160,0
2018-11-02,3.789030,3.796200,3.770450,3.789200,3.789200,0
2018-11-05,3.777310,3.797070,3.776230,3.777110,3.777110,0
2018-11-06,3.773100,3.784200,3.765770,3.771200,3.771200,0
2018-11-07,3.761000,3.775200,3.729510,3.761100,3.761100,0
2018-11-08,3.749550,3.765100,3.741410,3.748630,3.748630,0
2018-11-09,3.763230,3.789610,3.763230,3.763280,3.763280,0
2018-11-12,3.786400,3.824500,3.782820,3.786400,3.786400,0
2018-11-13,3.834450,3.835300,3.798000,3.834450,3.834450,0
2018-11-14,3.793300,3.813700,3.783330,3.795600,3.795600,0
2018-11-15,3.795660,3.811080,3.778060,3.794990,3.794990,0
2018-11-16,3.783980,3.809900,3.769470,3.784700,3.784700,0
2018-11-19,3.779740,3.793600,3.773530,3.781820,3.781820,0
2018-11-20,3.778780,3.793460,3.772290,3.778400,3.778400,0
2018-11-21,3.790600,3.792300,3.762580,3.790700,3.790700,0
2018-11-22,3.778100,3.778900,3.761490,3.778200,3.778200,0
2018-11-23,3.765300,3.790000,3.755920,3.765200,3.765200,0
2018-11-26,3.783560,3.789700,3.765860,3.785290,3.785290,0
